value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
ET2,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=4; ORGANIZATION=2,1,2
oven,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=13; LOCATION=2,1,2
TLP,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
LARS,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=9; LOCATION=2,1,2
scaffolder,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
Kenz,ORGANIZATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=2; EQUIPMENT=1; LOCATION=1,2,2
FRC,ORGANIZATION,high,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=31; EQUIPMENT=1; LOCATION=1,2,2
Camp 5,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=23; ORGANIZATION=2,1,2
onsite medical,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=10; ORGANIZATION=2,1,2
LTI,ORGANIZATION,moderate,INJURY_TYPE; ORGANIZATION,ORGANIZATION=7; INJURY_TYPE=2,1,2
saddle,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=2,1,2
engine,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=13; BODY_PART=2,1,2
convés,LOCATION,high,BODY_PART; LOCATION,LOCATION=14; BODY_PART=2,1,2
tent,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=2,1,2
curve,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=2; LOCATION=2,1,2
FLET,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=11; LOCATION=2,1,2
pad eyes,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=2,1,2
Fabrication Yard,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=5; ORGANIZATION=2,1,2
city hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
palette,EQUIPMENT,high,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=21; BODY_PART=1; LOCATION=1,2,2
First Aid point,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=6; EQUIPMENT=1; ORGANIZATION=1,2,2
crate,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=18; LOCATION=2,1,2
DB,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=4; EQUIPMENT=2,1,2
Firing Line Building,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
VCM,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=4; ORGANIZATION=2,1,2
