id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9836065573770492,645925|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,645925|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
107d6d9a-b095-4db3-9b49-1cb7b06bebb3,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9836065573770492,645925|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
92d7d817-4ee7-4e65-9a6b-d7ecfe7cf97b,3ca529d7-485e-4647-b82f-47841fb919f5,INCIDENT_TYPE,INCIDENT 643100 - ENVIRONMENTAL INCIDENT AT OFFICE PARIS (NEWSIDE),INCIDENT 643107 - ENVIRONMENTAL INCIDENT IN PARIS OFFICE (NEWSIDE),0.9433962264150944,643100,643107,0.0,INCIDENT_TYPE|INCIDENT|15
a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9421487603305785,645924|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9421487603305785,645924|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
d1c26f86-3110-4594-afb0-e042bb3d8bbd,2c755400-3032-4c85-bfbf-fbadc0a163a3,INCIDENT_TYPE,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9107142857142857,670917|879|068107|001,661505|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
d1c26f86-3110-4594-afb0-e042bb3d8bbd,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,670917|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
d1c26f86-3110-4594-afb0-e042bb3d8bbd,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,670917|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
d1c26f86-3110-4594-afb0-e042bb3d8bbd,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,670917|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
2c755400-3032-4c85-bfbf-fbadc0a163a3,b7982251-8749-4403-8f9a-fdadcce16d17,INCIDENT_TYPE,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9107142857142857,661505|879|068107|001,645926|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
2c755400-3032-4c85-bfbf-fbadc0a163a3,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.926829268292683,661505|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
2c755400-3032-4c85-bfbf-fbadc0a163a3,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9107142857142857,661505|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
9e634f6c-d829-433a-a2ce-0b31d78a1496,cc7fe14a-be9c-4c96-b3eb-32a837b4a040,INCIDENT_TYPE,INCIDENT 651288 - ENVIRONMENTAL INCIDENT AT TP UMBILICAL FACTORY,INCIDENT 653114 - ENVIRONMENTAL SPILLAGE AT TP UMBILICAL FACTORY,0.9292929292929293,651288,653114,0.0,INCIDENT_TYPE|INCIDENT|15
30c43dfd-2a06-4c6b-85d7-06edb2e572cb,99d46cfe-3613-4e7b-87c0-dfd13dfb5f2c,INCIDENT_TYPE,INCIDENT 652724 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,INCIDENT 643428 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,0.9391304347826087,652724,643428,0.0,INCIDENT_TYPE|INCIDENT|15
30c43dfd-2a06-4c6b-85d7-06edb2e572cb,cde75f26-3e45-4f54-96c2-465101848bc9,INCIDENT_TYPE,INCIDENT 652724 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,INCIDENT 66424 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,0.9586776859504132,652724,66424,0.0,INCIDENT_TYPE|INCIDENT|15
99d46cfe-3613-4e7b-87c0-dfd13dfb5f2c,cde75f26-3e45-4f54-96c2-465101848bc9,INCIDENT_TYPE,INCIDENT 643428 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,INCIDENT 66424 - UNCONTROLLED DISCHARGE OF GASES TO ATMOSPHERE,0.9586776859504132,643428,66424,0.0,INCIDENT_TYPE|INCIDENT|15
b7982251-8749-4403-8f9a-fdadcce16d17,dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,INCIDENT_TYPE,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,645926|879|068107|001,661239|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
b7982251-8749-4403-8f9a-fdadcce16d17,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 645926 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9836065573770492,645926|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
dc144a6a-f42c-4c0c-a3f1-5b77cf50f7bf,f5582726-e597-49b5-93d3-614e895579ba,INCIDENT_TYPE,INCIDENT 661239 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645923 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,661239|879|068107|001,645923|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
9ecf89fa-2153-4793-b43a-1fc59b2e3999,f09453e5-419a-439b-b33b-6e4e2ba98f97,ORGANIZATION,TU INC,TU INC.,1.0,,,1.0,ORGANIZATION|TU|1
c000f1c3-4234-40f8-a631-9623a74b3bfd,e8bd99e4-03d3-49d0-82dc-374392b24575,ORGANIZATION,TU LTD,TU LTD.,1.0,,,1.0,ORGANIZATION|TU|1
75af3eab-95c3-4224-902b-5b320e327104,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, UNKNOWN, GERMANY, EUROPE",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
9a9b819d-f52d-4e49-8bd3-b33bf9a03f50,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, SANZULE, GHANA, AFRICA",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
9a9b819d-f52d-4e49-8bd3-b33bf9a03f50,20f2f55c-e33c-4ea2-8b6a-6a9d9055409c,LOCATION,"UNKNOWN, SANZULE, GHANA, AFRICA","UNKNOWN, UNKNOWN, GHANA, AFRICA",1.0,,,1.0,LOCATION|UNKNOWN|7
af0e7b7f-fcd9-4a5d-8164-00226668c040,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, UNKNOWN, ALBANIA, EUROPE",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
a8456df0-ec00-46b1-9c88-2493ad1b6403,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, AMALAPURAM, INDIA, INDIA",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
ca5b161b-ebed-4a31-878e-0d394a45bfa5,df86fd5d-833c-46b2-9c12-ef4d4e9a4823,LOCATION,"UNKNOWN, LIMASSOL, CYPRUS, EUROPE","UNKNOWN, UNKNOWN, CYPRUS, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
ca5b161b-ebed-4a31-878e-0d394a45bfa5,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, LIMASSOL, CYPRUS, EUROPE",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
aaef1ebc-7220-4e4d-b083-2a9f271fe9ba,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, SEKONDI, GHANA, AFRICA",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
aaef1ebc-7220-4e4d-b083-2a9f271fe9ba,20f2f55c-e33c-4ea2-8b6a-6a9d9055409c,LOCATION,"UNKNOWN, SEKONDI, GHANA, AFRICA","UNKNOWN, UNKNOWN, GHANA, AFRICA",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,d83b4d0c-0f1c-43fe-a7c5-64927448d8b1,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, AGOTNES, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,b652228a-dab9-4fc0-bfdf-8132cb0d3a4d,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, TANANGER, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,053360f1-1934-4595-99e1-2c299f45143b,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, STAVANGER, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,695a6f06-b861-446b-a422-96aafd27f6a4,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, LYSAKER, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,1dda77d0-07be-4c92-8237-ca6d7021663b,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE",UNKNOWN - UNKNOWN - UNKNOWN - UNKNOWN,1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,f0b5291a-72e5-4b42-9a1f-af416e7d95ee,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, ORKANGER, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,c6fda146-f76f-4b60-a41a-e6bd8b48f739,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, TONSBERG, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
2b58580c-004e-4e99-9d02-7b75c44c2c43,4fec858f-f53f-4afc-8cb9-7748f08de85f,LOCATION,"UNKNOWN, UNKNOWN, NORWAY, EUROPE","UNKNOWN, HAUGESUND, NORWAY, EUROPE",1.0,,,1.0,LOCATION|UNKNOWN|7
