is_match,id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key,risk_score,num_mismatch
,5c058664-73b8-44fc-ba87-3bae4cdcb935,2842d89c-01a4-4e90-9ea8-ad45b17baca6,ORGANIZATION,HYDRASUN PERSONNEL 1,HYDRASUN PERSONNEL 2,0.95,1,2,0.0,ORGANIZATION|HYDRASUN|5,0.95,True
,1547270b-b248-482f-bb66-a59baeb6e3d7,c2da861d-4161-4eee-9ee3-f012accc1f36,LOCATION,STATION 1,STATION #16,0.9473684210526316,1,16,0.0,LOCATION|STATION|2,0.9473684210526316,True
,1547270b-b248-482f-bb66-a59baeb6e3d7,885576e5-f17b-4ab0-aa0e-b9007d4f7b70,LOCATION,STATION 1,STATION 10,0.9473684210526316,1,10,0.0,LOCATION|STATION|2,0.9473684210526316,True
,1547270b-b248-482f-bb66-a59baeb6e3d7,c2acd7da-801f-44e6-85d0-0cc81e4d7c7c,LOCATION,STATION 1,STATION 18,0.9473684210526316,1,18,0.0,LOCATION|STATION|2,0.9473684210526316,True
,1547270b-b248-482f-bb66-a59baeb6e3d7,3eb8b3ec-574d-48d3-ac1e-8776153e121a,LOCATION,STATION 1,STATION 21,0.9473684210526316,1,21,0.0,LOCATION|STATION|2,0.9473684210526316,True
,260ef4dd-9ae0-4092-a202-ab017d5089c6,885576e5-f17b-4ab0-aa0e-b9007d4f7b70,LOCATION,STATION #0,STATION 10,0.9473684210526316,0,10,0.0,LOCATION|STATION|2,0.9473684210526316,True
,f53e1010-9b42-42d3-8be3-f711eb555f28,3eb8b3ec-574d-48d3-ac1e-8776153e121a,LOCATION,STATION #2,STATION 21,0.9473684210526316,2,21,0.0,LOCATION|STATION|2,0.9473684210526316,True
,f53e1010-9b42-42d3-8be3-f711eb555f28,406a82be-4bbc-4b38-8892-a5cc196925fe,LOCATION,STATION #2,STATION 22,0.9473684210526316,2,22,0.0,LOCATION|STATION|2,0.9473684210526316,True
,c9bc6188-a16b-472f-8414-0e9c5a5faca7,9b489803-e6f7-4431-9efe-10a1fcfabee2,LOCATION,"AREA 44, GREEN FIELD",AREA 43 GREEN FIELD,0.9473684210526316,44,43,0.0,LOCATION|AREA|4,0.9473684210526316,True
,10190922-9838-4c62-a6cd-7de94d1f81d7,c05ea180-e05c-488c-a8bb-2d7d4b397306,LOCATION,WORKSHOP 1 HIGH BAY,WORKSHOP 2 HIGH BAY,0.9473684210526316,1,2,0.0,LOCATION|WORKSHOP|4,0.9473684210526316,True
